페이지	키워드	제목	NEWS_URL | MEDIA_URL
78	유로 2016	[유로2016]UEFA, '관중 폭력' 러시아에 실격유예 조치	벌금, 15만 유로 = 과격팬들이 폭력 사태를 일으킨 러시아가  실격 위기에 처했다. AP통신과 BBC 등 외신에 따르면 유럽축구연맹(UEFA)은 14일(현지시간) 징계위원회를 통해 러시아 관중들이 또다시 경기장...
78	유로 2016	[유로 리뷰] '예선 10G 무패' 오스트리아, 아이슬란드에 1-2 패하며 16강 탈락	오스트리아는 23일 오전 1시(한국시간) 프랑스 스타드 데 프랑스에서 펼쳐진 UEFA  F조 3차전에서 아이슬란드와 1-2 패배를 기록했다. 결국 조 4위를 기록한 오스트리아는 대회 일정을 마무리했다. [선발명단]...
78	유로 2016	[유로 2016] 폴란드 레반도르프스키, 우크라이나 침몰 시키나?	[헤럴드경제]  조별 예선이 막바지에 다다르며 각 팀의 명운이 엇갈리고 있다. 21일 오전 1시 C조 독일과 북아일랜드, 폴란드와 우크라이나가 각각 경기를 갖는다. 우크라이나와 폴란드, 양팀은 마지막 경기에서...
78	유로 2016	‘유로 첫출전’ 아이슬란드, 포르투갈과 감격 무승부	아이슬란드는 15일 프랑스 생테티엔 스타드 조프루아 기샤르에서 열린 유럽축구연맹(UEFA)  조별리그 F조 1차전에서 포르투갈과 1-1로 비겼다. 나니에게 선제골을 내줬으나 비아르나손이 동점골을 터뜨린 뒤...
78	유로 2016	[유로 2016] 이탈리아-스웨덴, 선발 명단 공개… 부폰 vs 즐라탄	Gettyimages/이매진스 열기가 더해지고 있는  216 E조 2라운드 경기를 앞두고 있는 가운데 ‘아주리 군단’ 이탈리아와 ‘북유럽 맹주’ 스웨덴의 선발 명단이 공개됐다. 이탈리아와 스웨덴은 17일(한국시각) 오후...
78	유로 2016	[포토] ‘유로 사상 첫 승리’ 북아일랜드에 환호하는 팬들	[서울신문] ‘유로 사상 첫 승리’ 북아일랜드에 환호하는 팬들16일(현지시간) 프랑스 리옹의 스타드 데 뤼미에르에서 북아일랜드와 우크라이나의 2016 유럽축구선수권대회() 조별리그 C조 2차전이 끈난 뒤...
78	유로 2016	유로2016 축구 팬들 주먹다짐	【마르세유=AP/뉴시스】 유럽축구선수권대회()가 열리고 있는 프랑스 남부 마르세유의 스타드 벨로드롬 경기장 관중석에서 11일(현지시간) 잉글랜드와 러시아 팬들이 싸움을 벌이고 있다. 2016.6.12....
79	유로 2016	유로2016 축구 팬들 주먹다짐	【마르세유=AP/뉴시스】 유럽축구선수권대회()가 열리고 있는 프랑스 남부 마르세유의 스타드 벨로드롬 경기장 관중석에서 11일(현지시간) 잉글랜드와 러시아 팬들이 싸움을 벌이고 있다. 2016.6.12....
79	유로 2016	프랑스, 스위스와 16강…알바니아는 유로 첫 승 감격	프랑스와 스위스가  조별리그 최종전에서 득점 없이 비기면서 나란히 조 1,2위로 16강행을 확정했다. 알바니아는 유로 무대에서 역사적인 첫 승리를 기록했다. 개최국 프랑스는 20일(한국시간) 릴 스타드...
79	유로 2016	[강윤기의 유로2016] 비효율적인 공격을 제대로 보여준 잉글랜드	지역 예선은 그야말로 뻥 뚫린 고속도로를 막힘없이 달렸다. 잉글랜드는 지역 예선 E조에서 10전 전승을 거두며 본선에 올랐다. 31득점 3실점을 기록하며 그야말로 완벽한 모습을 뽐냈다. 답답한 갈증이 최고조로...
79	유로 2016	유로 2016 러시아 축구팬 난동사태 러-佛 외교분쟁 비화	러시아 외무부, 자국 축구팬 억류에 항의해 프랑스 대사 초치 프랑스에서 열리고 있는 2016 유럽축구선수권대회()에서의 러시아 축구팬 난동 사건이 양국 간 외교분쟁으로 비화하고 있다. 러시아 외무부는 15일...
79	유로 2016	[유로2016] 슈퍼맨 호날두는 잃었으나 형님을 얻은 포르투갈	호날두와 포르투갈이 15일 오전(한국시간) 프랑스 생테티엔 스타드 조프루아 귀샤르에서 아이슬란드를 상대로  F조 조별라운드 첫 경기를 펼쳤다. 대부분이 포르투갈의 우세를 점쳤던 경기다. 유럽선수권 본선에...
79	유로 2016	[스포탈 인포] ‘70%가 후반 득점’...재미없는 유로의 유일한 희망	[= 유럽 축구 선수권 대회(이하 )를 놓고 한때는 ‘유럽축구의 꽃’이라 부르던 축구팬들의 반응이 영 시원찮아졌다. 4년마다 한 번씩 열리는 이 대회는 ‘작은 월드컵’이라 불릴 정도로 예부터 큰 관심을...
79	유로 2016	[유로2016]호날두 PK 실축… 포르투갈, 오스트리아와 0-0 조 3위	포르투갈 크리스티아누 호날두가 19일(한국시간) 프랑스 파리에서 열린  조별리그 F조 2차전 오스트리아와의 경기에서 답답한 표정을 짓고 있다. /AP=연합뉴스 포르투갈이 호날두의 PK 실축 속에 에서...
79	유로 2016	<유로2016> 웨스트햄, 파예 대활약에 울상…"몸값 감당 못 해"	프랑스 대표팀의 드미트리 파예.[AP=연합뉴스 자료사진] 2016 유럽축구선수권대회()에서 프랑스 축구대표팀의 골잡이 드미트리 파예(29·웨스트햄)가 2경기 연속골을 터트리자 소속팀이 오히려 울상을 짓고...
79	유로 2016	[유로 2016] '무회전 장착' 베일의 유로 4번째 프리킥	웨일즈의 간판 선수 가레스 베일(레알 마드리드)은 21일(이하 한국시간) 프랑스 툴루즈의 스타디움 무니시팔에서 열린 UEFA(유럽축구연맹)  조별 리그 B조 3차전 러시아와 경기에서 선발 출전해 팀의 3-0 승리를...
79	유로 2016	“유로2016 마스코트 ‘슈퍼 빅터’ = 성인기구?”	은 우리 시간으로 11일 오전 4시에 개막한다. 그러나 대회 시작 전부터 이슬람 무장단체 등에 의한 테러 위협이 고조된 것은 물론, 노동법 반대에 의한 청소 근로자 파업으로 파리 등 주요 도시들은 쓰레기...
80	유로 2016	[유로2016] ‘나니 선제골’ 포르투갈, 아이슬란드와 1-1 무승부	포르투갈은 15일 아이슬란드와의  F조 1차전에서 1-1를 무승부를 기록했다. 6월 국제축구연맹(FIFA) 랭킹에서 포르투갈은 8위, 아이슬란드는 34위에 올라있다. 경기 시작 31분 만에 포르투갈 공격수 나니(30...
80	유로 2016	[SQ분석] 유로2016 달구는 호날두 힘의 원천, 후천적 노력으로 빚은 '완전체'	유럽축구선수권  조별리그 1,2차전에서 페널티킥을 실축하는 등 무득점에 그쳐 체면을 구겼지만 23일(한국시간) 헝가리와 최종전에서 2골 1도움을 기록하며 포르투갈을 16강에 진출시켰다. 호날두가 리오넬...
80	유로 2016	푸마, 유로 2016 기념 한정판 축구화 ‘킹 탑’ 출시	-  경기 열리는 파리, 보르도, 리옹, 마르세유를 모티브로 한 네 가지 컬러로 선보여 글로벌 스포츠브랜드 푸마가 프랑스에서 개최되는 ‘’ 기념 한정판 축구화 ‘킹 탑’ 을 네 가지 컬러로 출시했다....
80	유로 2016	佛 수사당국 "유로 2016 폭력사태 러시아 훌리건 150명 소행"	잉글랜드 훌리건 최루가스 진압 (마르세유 AFP=연합뉴스) 10일(현지시간) 프랑스 파리에서 유럽축구선수권대회()가 개막한 가운데 남부 항구도시 마르세유에서 경찰이 잉글랜드 훌리건을 해산하기 위해...
80	유로 2016	'모라타 2골' 스페인, 터키 3-0 꺾고 유로 16강행	무적함대 스페인이 터키를 완파하고  16강에 진출했다. 스페인은 18일(한국시간) 새벽 프랑스 알리안츠 리비에라서 열린 대회 조별리그 D조 2차전서 터키를 3-0으로 대파했다. 이로써 스페인은 체코전 승리에...
80	유로 2016	유로2016 떠나는 레전드에 아자르 헌사 "즐라탄은 최고로 남을 것"	스웨덴과 벨기에는 23일(한국시간) 프랑스 니스 알리안츠 리비에라에서 유럽축구선수권  E조 리그 최종전을 치렀다. 벨기에가 1-0으로 승리했고 스웨덴은 16강 진출에 실패했다. 이번 대회를 끝으로 은퇴를...
80	유로 2016	[유로 FOCUS] 못 뛴 모드리치의 공헌, 라모스 PK 방어 힌트	[풋볼리스트] 한준 기자= 크로아티아 미드필더 루카 모드리치는 부상으로 스페인과의 중대한 '' D조 3차전 경기에 뛰지 못했다. 그러나 그라운드 위에 없다고 팀에 기여할 수 없는 것은 아니다. 모드리치는...
80	유로 2016	[유로 포커스] '질식 수비' 북아일랜드, 역사적인 첫 승 만들다	북아일랜드는 17일 오전 1시(한국시간) 프랑스 리옹에 위치한 스타드 드 리옹에서 열린 UEFA(유럽축구연맹)  C조 2차전 우크라이나와의 경기에서 맥컬리의 결승골에 힘입어 2-0으로 승리했고, 역사적인 유로 본선...
80	유로 2016	[유로2016]'유럽판 한일전' 독일, 폴란드와 헛심 공방… 뢰브 제로톱 또 실패	독일 폴란드. 16일(현지시간) 프랑스 생드니의 스타드 드 프랑스에서 열린 독일과 폴란드의  조별리그 C조 2차전에서 메수트 외질(가운데)이 폴란드 그제고슈 크리호비악(왼쪽)과 아르카디우스 밀리크...
80	유로 2016	'훌리건 폭력 사태'로 부상자 속출…유로 2016 '몸살'	[앵커] 유럽축구선수권대회 이 과격한 축구팬들, 훌리건의 폭력으로 몸살을 앓고 있습니다. 마르세유와 릴에서 집단 난투극이 이어졌는데요. 특히 이번 대회에선극우 민족주의, 인종 차별이 표출되는...
81	유로 2016	'훌리건 폭력 사태'로 부상자 속출…유로 2016 '몸살'	[앵커] 유럽축구선수권대회 이 과격한 축구팬들, 훌리건의 폭력으로 몸살을 앓고 있습니다. 마르세유와 릴에서 집단 난투극이 이어졌는데요. 특히 이번 대회에선극우 민족주의, 인종 차별이 표출되는...
81	유로 2016	[유로2016]'44년 만에 출전' 헝가리, 오스트리아 2-0 격파	헝가리는 15일 오전 1시(한국시간) 프랑스 보르도에서 열린  조별리그 F조 1차전 경기에서 오스트리아에 2-0으로 승리했다. 헝가리는 20세기 중반 세계 축구계를 호령했으나, 명성이 퇴색한지 오래였다. 1972년...
81	유로 2016	[유로 2016]터키, 체코에 2-0 승…체코 조별리그 탈락	터키 / 사진= gettyimages 제공 [스포츠투데이 정성래 기자]부진에 빠져있던 터키가 체코를 잡아내고 기사회생했다. 체코는 조별리그 탈락의 쓴 맛을 봤다. 터키는 22일 오전 4시(한국시간) 프랑스 랑스 스타드...
81	유로 2016	'유로 탈락' 러시아 대표팀, 페예그리니에 감독직 제안(西 아스)	[인터풋볼] 서재원 기자= 에서 초라한 성적을 남기고 탈락한 러시아 대표팀이 마누엘 페예그리니(62)에게 감독직을 제안했다. 영국 '스카이스포츠'는 22일(한국시간) 스페인 언론 '아스'의 보도를 인용해...
81	유로 2016	[유로 리뷰] '고메스 결승골' 독일, 북아일랜드 1-0 제압...C조 1위로 16강행	독일은 22일 오전 1시(한국시간) 프랑스 파리에 위치한 파르크 데 프랭스에서 열린 유럽축구연맹(UEFA)  C조 조별리그 북아일랜드와의 3라운드에서 고메스의 결승골에 힘입어 1-0으로 승리했다. 이날 승리로 독일은...
81	유로 2016	[유로2016] 유럽축구연맹 '경기장 홍염 투척' 크로아티아 징계	크로아티아-체코 전 유럽축구연맹이 경기 도중 관중이 운동장에 홍염을 투척한 것과 관련해 크로아티아에 대한 징계절차에 돌입하겠다고 밝혔습니다. 유럽축구연맹은 오늘  크로아티아와 체코의...
81	유로 2016	[벨기에 스웨덴] '즐라탄 VS 아자르' 선발 라인업...유로 2016 16강 진출팀은	16강 진출에 도전하는 벨기에와 스웨덴이 선발 라인업을 공개한 가운데 양팀의 에이스인 에당 아자르(첼시)와 즐라탄 이브라히모비치(파리 생제르망)이 명단에 이름을 올렸다. 벨기에와 스웨덴은 23일 새벽 4시...
81	유로 2016	[유로2016]'피케 결승골' 스페인, 질식수비 체코에 1-0 승리	스페인은 13일 오후 10시(한국시간) 프랑스 툴루즈의 스타디움 드 툴루즈에서 열린 체코와의  D조 조별리그 1차전에서 후반 42분에 터진 수비수 피케(FC바르셀로나)의 헤딩 결승골에 힘입어 1-0으로 승리했다....
81	유로 2016	유럽, 애도 속 연대 의지 표명...'유로 2016' 안전 비상	특히 ''이 열리고 있는 프랑스는 테러 위협은 물론 잇따른 훌리건들의 난동에 대처하느라 긴장을 늦추지 못하고 있습니다. 김응건 유럽 특파원이 보도합니다. [기자] 프랑스 파리 시청에 미국 국기인 성조기와...
81	유로 2016	유로 2016 프랑스 스위스 혈전…스위스 골키퍼 철통 방어 눈길	이투데이=김준형 기자 | 프랑스와 스위스가 맞붙은 2016 유럽축구선수권대회() 조별리그 최종전은 득점 없이 무승부로 끝났다. 스위스 골키퍼 얀 쏘머가 결정적인 슈팅 여러개를 막아내면서 무승부를 지켰다....
82	유로 2016	'유로 탈락' 러시아 대표팀, 페예그리니에 감독직 제안(西 아스)	[인터풋볼] 서재원 기자= 에서 초라한 성적을 남기고 탈락한 러시아 대표팀이 마누엘 페예그리니(62)에게 감독직을 제안했다. 영국 '스카이스포츠'는 22일(한국시간) 스페인 언론 '아스'의 보도를 인용해...
82	유로 2016	[유로 리뷰] '고메스 결승골' 독일, 북아일랜드 1-0 제압...C조 1위로 16강행	독일은 22일 오전 1시(한국시간) 프랑스 파리에 위치한 파르크 데 프랭스에서 열린 유럽축구연맹(UEFA)  C조 조별리그 북아일랜드와의 3라운드에서 고메스의 결승골에 힘입어 1-0으로 승리했다. 이날 승리로 독일은...
82	유로 2016	[유로2016]프랑스·스위스, 0-0 무승부…16강 동반 진추	프랑스는 20일 프랑스 릴 스타드 피에르 모루아에서 열린  조별리그 A조 3차전 스위스와 경기서 0-0 무승부를 거뒀다. 프랑스는 조별리그 전적 2승 1무 승점7로 조 1위를 차지, 무난하게 16강 진출에...
82	유로 2016	슬로바키아, 러시아 잡고 유로2016 본선 첫 승	슬로바키아는 15일 프랑스 릴의 스타드 피에르 모루아에서 펼쳐진  B조 조별리그 2차전 러시아와의 경기에서 2대 1로 승리했다. 1차전에서 웨일스에 1-2로 승리를 내준 슬로바키아는 8강 진출을 넘볼 수...
82	유로 2016	[유로2016] '처녀 출전' 웨일스, 러시아 3-0 완파…조 1위로 16강행 "이변"	[글로벌이코노믹 노정용 기자] ''(유럽축구선수권대회) 본선에 처녀 출전한 웨일스가 러시아를 3-0으로 완파하고 조 1위로 16강에 오르는 이변을 연출했다. 웨일스는 20일(현지시간) 프랑스 무니시팔...
82	유로 2016	<유로2016> 러시아팬, 경기 후 잉글랜드 관중 공격(종합)	잉글랜드-러시아전이 끝난 뒤 경기장 안에서 충돌한 양팀 팬들(AP=연합뉴스) 잉글랜드-러시아전, 관중 폭력사태로 얼룩져 잉글랜드와 러시아의 2016 유럽축구선수권대회() 맞대결을 앞두고 벌어진 양 팀 팬들의...
82	유로 2016	[유로 FOCUS] 알바니아 '첫 승' 작전, '첫 골'에 걸린 희망	알바니아는 20일 새벽(한국시간) 프랑스 리옹에 위치한 스타드 드 리옹에서 열린 '' 조별리그 3차전에서 루마니아를 상대로 1-0으로 승리했다. 전반 43분 아르만도 사디쿠가 기록한 선취 결승골이 알바니아의...
82	유로 2016	[유로2016] 즐라탄도 꽁꽁 묶은 이탈리아의 빗장 수비	이탈리아 수비수 조르지오 키엘리니가 17일(한국시간) 프랑스 툴루즈의 스타디움 무니시팔에서 열린 스웨덴과의 2016 유럽축구연맹() E조 조별예선 2차전에서 상대 공격수 즐라탄 이브라히모비치를 마크하고...
82	유로 2016	[유로2016] '자케리니 결승골' 이탈리아, 벨기에 2-0 제압(종합)	AFP=News1 '자책골' 아일랜드, 스웨덴과 아쉬운 무승부 '디펜딩 챔프' 스페인, 피케 결승골로 체코에 신승 이탈리아가 벨기에를 꺾고 2016유럽축구선수권대회() 첫 승을 신고했다. 이탈리아는 14일(한국시간)...
82	유로 2016	[유로 2016] 아일랜드, 이탈리아 1-0으로 꺾고 극적인 16강행	아일랜드는 23일 오전 프랑스 릴에서 열린 '' 조별리그 E조 3차전에서 이탈리아에 1-0으로 이겼다. 후반 40분 아일랜드 브레디가 훌라한이 오른쪽 측면에서 올린 크로스를 문전 쇄도하며 헤딩 슈팅으로...
83	유로 2016	[유로2016]폴란드, 유로 본선 사상 첫 승	폴란드는 13일(한국시간) 프랑스 니스의 알리안츠 리비에라에서 열린  조별리그 C조 1차전에서 북아일랜드를 1-0으로 꺾었다. 그동안 2008년과 2012년 두 차례 출전해 각각 1무2패와 2무1패에 그쳤던 폴란드는 본선...
83	유로 2016	[유로 2016] 독일-폴란드, '헛심 공방' 끝에 0-0 무승부.. '나란히 1승1무'	독일 축구 대표팀은 17일(이하 한국시간) 오전 4시 프랑스 생드니에 위치한 스타드 드 프랑스에서 열린 '' 폴란드 축구 대표팀과의 C조 조별예선 2차전에서 득점 없이 0-0 무승부를 거뒀다. 이로써 양 팀은 나란히...
83	유로 2016	[유로 2016] 아일랜드, 이탈리아 1-0으로 꺾고 극적인 16강행	아일랜드는 23일 오전 프랑스 릴에서 열린 '' 조별리그 E조 3차전에서 이탈리아에 1-0으로 이겼다. 후반 40분 아일랜드 브레디가 훌라한이 오른쪽 측면에서 올린 크로스를 문전 쇄도하며 헤딩 슈팅으로...
83	유로 2016	[유로 리뷰] 크로아티아, 스페인에 '대역전' 조 1위 쟁취	22일(한국시간) 스페인 보르도의 스타드 드 보르도에서 ‘’ D조 3차전을 치른 크로아티아가 스페인에 2-1 역전승을 거뒀다. 크로아티아가 조 1위로 오르며 유리한 대진표를 잡는 실속까지 챙겼다. *전반전...
83	유로 2016	-유로2016- '전차군단' 독일, 우크라이나에 2-0 승리…'노이어 선방쇼'	유럽축구선수권대회() 조별리그에서 우크라이나를 꺾고 첫걸음을 가볍게 내디뎠다. 독일은 13일(한국시간) 프랑스 릴의 스타드 피에르 모루아에서 열린  조별리그 C조 1차전에서 '난적' 우크라이나를 2...
83	유로 2016	[이탈리아 아일랜드] '자자-임모빌레 투톱' 1.5군 꺼내든 이탈리아(유로 2016)	[이탈리아 아일랜드] '자자-임모빌레 투톱' 1.5군 꺼내든 이탈리아() 이탈리아가 아일랜드전 1.5군을 꺼내 들었다. 이탈리아는 23일 새벽 4시(한국시간) 프랑스 스타드 피에르-모루아에서 아일랜드를...
83	유로 2016	[유로 프리뷰] 'F조 3위' 포르투갈, 막판 반전 가능할까?	마르셀 콜러 감독을 비롯한 선수단은 그래도 마지막 경기에서 총력을 쏟아 반전을 일으킨다는 계획이다.  특별 기획팀  <엠스플뉴스>, 무단 전재 및 재배포 금지
83	유로 2016	[유로 2016] ‘극장골’ 헝가리, 아이슬란드와 1-1 무승부...'16강 유력'	헝가리는 19일 01시(한국시간) 프랑스 스타드 벨로드롬에서 열린 아이슬란드와의  F조 조별리그 2차전서 시구르드손의 페널티킥 득점에 끌려다녔으나 경기 막판 터진 상대 수비수 세바르손의 자책골로 1-1...
83	유로 2016	[유로2016] '자케리니 결승골' 이탈리아, 벨기에에 2-0 승리	AFP=News1 이탈리아가 벨기에를 상대로 단단한 수비를 자랑하면서 2016유럽축구선수권() 첫 승을 신고했다. 이탈리아는 14일(한국시간) 프랑스 리옹의 스타드 데 뤼미에르에서 열린 벨기에와의 대회 E조 조별예선...
83	유로 2016	[유로 2016] 크로아티아, 무적함대 스페인에 2-1 역전승 16강 진출 페리시치 1골 1도움	크로아티아 스페인 2-1 제압 16강 진출/AP 뉴시스 크로아티아가 이반 페리시치(인터밀란)이 1골 1도움의 맹활약에 힘입어 '무적 함대' 스페인을 침몰시키면서 16강에 진출, 다크호스로 급부상했다. 사상 첫...
84	유로 2016	[유로 2016] ‘무기력’ 잉글랜드, 슬로바키아와 0-0 무승부... 조2위로 16강 진출!	경기 결과에 따라 잉글랜드는 승점 5점(1승 2무)를 기록하며 유럽축구연맹(UEFA)  16강 진출에 성공했다. 잉글랜드는 21일 04시(한국시간) 프랑스 스타드 조프루아 기샤르에서 열린 슬로바키아와의  B조...
84	유로 2016	[유로2016] 크로아티아 대역전극, 무적함대 스페인 유로 14경기 연속 무패 끊다	또 유럽축구선수권 에서도 2연승을 내달리며 14경기 연속 무패 행진을 이어갔다. 그러나 그 무패 행진이 크로아티아에 의해 끊겼다. 크로아티아가 '무적함대' 스페인을 침몰시켰다. 크로아티아는 22일(한국시간)...
84	유로 2016	[유로2016] 크로아티아,우승후보 스페인격침 ‘파란’ 조1위로 16강… 독일·폴란드도 16강 합류(종합)	크로아티아 스페인 2-1 제압 16강 진출/AP 뉴시스 [글로벌이코노믹 김하성 기자] 유럽축구선수권대회()가 중반으로 접어들면서 이변이 연출되면서 흥미를 더해주고 있다. 이변의 주역인 크로아티아는...
84	유로 2016	[유로2016][종합]우승후보 스페인·이탈리아, 나란히 첫 경기 승리	이탈리아가  첫 경기에서 나란히 승리를 거뒀다. 스페인은 13일 오후 10시(한국시간) 프랑스 툴루즈의 스타디움 드 툴루즈에서 열린 체코와의  D조 조별리그 1차전에서 후반 42분에 터진 수비수 헤라르드...
84	유로 2016	[유로2016]PK실축 라모스 "조별리그에서 실축하는게 차라리 낫다"	AFPBBNews = News1 [런던(영국)=이건 스포츠조선닷컴 기자]세르지오 라모스(스페인)가 조별리그에서 페널티킥 실축한 것이 차라리 다행이라는 입장을 밝혔다. 라모스는 22일 새벽(한국시각) 프랑스 보르도에서 열린...
84	유로 2016	[유로2016]벨기에, 아일랜드전 선발 공개…18일 밤10시 MBC SPORTS+2 생중계	벨기에는 18일 22시(한국시간) 프랑스 누보 스타드 드 보르도에서 아일랜드와  E조 조별리그 2차전 경기를 치른다. 앞서 벨기에는 1차전에서 이탈리아에 0-2로 패해 승리가 간절한 상황이다. 아일랜드는...
84	유로 2016	[유로 2016] ‘사디쿠 결승 골’ 알바니아, 루마니아에 1-0 승	루마니아는 20일(한국 시간) 프랑스 리옹 스타드 드 리옹에서 열린  A조 조별 리그 3차전 알바니아와 경기에서 1-0으로 이겼다. 알바니아는 1승 2패를 기록하며 조 3위에 올랐다. 루마니아는 1무 2패로 조 최하위를...
84	유로 2016	<유로2016> 잉글랜드-러시아전, 관중 폭력사태로 얼룩져	잉글랜드-러시아전이 끝난 뒤 경기장 안에서 충돌한 양팀 팬들(AP=연합뉴스) 러시아팬, 경기 후 잉글랜드 관중 공격 잉글랜드와 러시아의 2016 유럽축구선수권대회() 맞대결을 앞두고 벌어진 양 팀 팬들의...
84	유로 2016	[유로 2016] '16강 조기 진출' 프랑스, 스위스와 0-0 무승부...A조 1위	프랑스는 20일 오전 4시(한국시간) 프랑스 릴에 위치한 스타드 피에르 모루아에서 열린 유럽축구연맹(UEFA)  A조 조별리그 3차전 스위스와의 맞대결에서 0-0 무승부를 거뒀다. 경기 결과에 따라 프랑스는 A조 선두...
84	유로 2016	카카오, ‘유로2016’ 및 ‘코파아메리카’ 전경기 생중계	[전자신문인터넷 소성렬기자] 카카오(대표 임지훈)는 전세계 축구팬이 주목하는 ‘’ 및 ‘코파아메리카’ 전경기를 생중계한다고 10일 밝혔다. 카카오는 ‘’ 및 ‘코파아메리카’를...
85	유로 2016	포르투갈 호날두, 유로2016 오스트리아戰서 PK 실축으로 0-0 무승부…조3위, 16강 진출 안갯속	포르투갈이 크리스티아누 호날두의 페널티킥(PK) 실축으로  유럽축구선수권대회 오스트리아와의 경기에서 승부를 내지 못해 16강 진출이 불투명해졌다. 포르투갈은 19일(이하 한국시각) 프랑스 파리에서 펼쳐진...
85	유로 2016	[유로 이슈] 뿔난 호날두, 리포터 마이크 호수에 집어던져 논란	포르투갈은 지난 19일 파르크 데 프랑스에서 펼쳐진 UEFA  F조 2차전에서 오스트리아와 득점 없이 0-0 무승부를 기록했다. 이 무승부로 포르투갈은 3위를 유지하며 16강 진출이 불투명해졌다. 특히 포르투갈의...
85	유로 2016	英-러 훌리건 폭력으로 얼룩진 유로 2016	[정오뉴스] 프랑스 남부 마르세유에서 열린  잉글랜드와 러시아의 축구 경기 직후 경기장 안팎에서 두 나라 팬들이 싸움을 벌여 수십 명이 다쳤다고 외신들이 보도했습니다. 이들은 경기 시작 몇...
85	유로 2016	[유로2016]오스트리아 헝가리 ‘혈투’…첫 판서 제대로 붙었다	[헤럴드경제] 오스트리아와 헝가리에게  본선 무대는 뜻깊다. 유로 2008년 개최국 자격으로 유로 첫 진출을 이뤄낸 오스트리아는 8년 만에 두번째 유로 대회를 맞이한다. 하지만 자력 진출은 이번이...
85	유로 2016	유로 2016, 러시아·슬로바키아 선발 명단 발표	러시아 대표팀의 올레크 샤토프(왼쪽) [사진 출처=연합뉴스] 러시아와 슬로바키아 축구대표팀이  B조 조별리그 2차전 경기에 출전할 선발 명단을 발표했다. 러시아와 슬로바키아 대표팀은 15일 오후 10시...
85	유로 2016	[유로 기록실] 기록으로 본 유로, '키패서' 데 브루잉+'난사왕' 호날두	이런 이유에서 그 어느 때보다 흥미진진한 을 기록으로 살펴봤다. 이번 유로의 특징은 수비 축구다. 참가국 숫자가 24개 국으로 늘어나면서 객관적인 전력이 떨어지는 국가들이 안정적인 수비를 바탕으로 역습을...
85	유로 2016	[움짤] 개최국 프랑스, 알바니아 꺾고 16강 진출 확정! (유로 2016)	PC-'iMBC 스포츠 온에어'와 모바일-'해요TV'를 통해 생중계 된다. ☞ <해요!>APP 다운받으러 가기 ☞ MBC <>사이트 가기 iMBC 취재팀 | 화면캡쳐 MBC Copyrights  iMBC (enews.imbc.com) 무단복제 및 재배포 금지
85	유로 2016	[유로 이슈] '2연속 FK골' 베일이 밝힌 무회전킥의 비밀	또한, 이번  공인구는 라리가나 프리미어리그 공과는 달라 잘만 차면 더 움직임이 많아진다. 골키퍼들에게는 안 된 일이지만 키커에게는 더 좋은 일이다"며 자신의 프리킥 비밀을 전했다. 또한, 베일은 무회전...
85	유로 2016	[유로D조 프리뷰] 스페인 '2군'이냐, '모드리치 없는' 크로아티아냐	스페인은 22일(이하 한국시각) 오전 4시 프랑스 보르보 누보 스타드 드 보르도에서  D조 3차전 크로아티아전을 가진다. 이미 2승으로 일찌감치 16강 진출을 확정지은 스페인으로서는 만만치않은 상대...
85	유로 2016	[유로 2016] ‘강렬한 27분’ 파예, 프랑스 공격의 구심점	프랑스는 20일(한국 시간) 프랑스 릴 스타드 피에르 모루아에서 열린  A조 조별리그 3차 스위스와 경기에서 0-0으로 비겼다. 프랑스는 2승 1무로 조 1위를 차지했고 스위스는 1승 2무로 2위를 기록했다. 프랑스...
86	유로 2016	[유로2016]베일 "버거와 칩스로 잉글랜드전 충격패 달랬다"	출처 |  트위터 [스포츠서울 김현기기자]잉글랜드에 역전패한 웨일스 선수들이 가벼운 버거와 칩스(감자) 요리로 분위기를 바꿨다. 웨일스는 처음 출전한 2016 프랑스 유럽축구선수권대회()에서...
86	유로 2016	[유로2016] 프랑스-러시아, 훌리건 때문에 외교관계까지 '싸늘'	[헤럴드경제] 러시아 축구팬들이 프랑스에서 열리는 2016 유럽축구선수권대회()에서 난동을 부린 사건으로 양국 간 외교 갈등이 커지고 있다. 프랑스는 16일(현지시간) 마르세유에서 난동을 부린 러시아 축구팬...
86	유로 2016	[유로2016]잉글랜드 슬로바키아 예상 선발 라인업… 스터리지·바디 출격 대기	잉글랜드 슬로바키아 예상 선발 라인업. 잉글랜드와 슬로바키아는 21일(한국시간) 새벽 4시 프랑스 생테티엔에 위치한 스타드 조프로이 귀사르에서  B조 3차전을 갖는다. 사진은 웨일즈와의 2차전에서...
86	유로 2016	효성, 세계 최대 방위산업 전시회 '유로사토리'에서 아라미드 방탄헬멧 선보여	효성이 프랑스 파리에서 열린 세계 최대 방위산업 전시회 '사토리(Eurosatory) '에 참가해 초경량 아라미드 방탄헬멧을 선보였다고 16일 밝혔다. 사토리는 세계 최대 규모 지상무기 전시회로 올해는...
86	유로 2016	[유로2016] 지독한 골 불운…호날두, 포르투갈 전체슛 40%에도 무득점	포르투갈 크리스티아누 호날두(가운데)가 오스트리아와  조별리그 F조 2차전에서 후반 막판 페널티킥을 실축한 뒤 얼굴을 감싸쥐고 있다. 캡처 |  페이스북 [스포츠서울 김용일기자] 2경기에서 슛...
